skill,total_months,min_date,max_date
airflow,37,2019-10-01,2022-10-01
data analysis,37,2019-10-01,2022-10-01
django,31,2017-03-01,2019-09-01
docker,68,2017-03-01,2022-10-01
framework,50,2013-01-01,2017-02-01
jupyter,37,2019-10-01,2022-10-01
kubernetes,37,2019-10-01,2022-10-01
mysql,81,2013-01-01,2019-09-01
pandas,37,2019-10-01,2022-10-01
payments,31,2017-03-01,2019-09-01
postgresql,68,2017-03-01,2022-10-01
python,68,2017-03-01,2022-10-01
sql server,87,2013-01-01,2022-10-01
sqlite,50,2013-01-01,2017-02-01
