skill,total_months,min_date,max_date
accounting,28,2003-01-01,2005-05-01
analytics,9,2019-04-01,2019-12-01
angular,6,2016-01-01,2016-06-01
asp net,13,2014-12-01,2016-06-01
business,78,2001-05-01,2017-07-01
business intelligence,37,2012-06-01,2015-06-01
component,3,2017-07-01,2017-09-01
data visualization,12,2017-10-01,2018-09-01
database,94,2001-05-01,2021-07-01
databases,64,2006-11-01,2017-07-01
deployment,10,2010-10-01,2011-07-01
documentation,77,2003-01-01,2016-04-01
encryption,39,2006-11-01,2010-01-01
finance,8,2020-12-01,2021-07-01
framework,31,2011-08-01,2021-07-01
interaction,8,2020-12-01,2021-07-01
java,66,2005-05-01,2021-07-01
junit,10,2011-08-01,2012-05-01
medium,25,2004-11-01,2006-11-01
mobile,4,2001-05-01,2001-08-01
monitoring,131,2002-07-01,2019-12-01
mysql,3,2017-07-01,2017-09-01
network performance,42,2002-07-01,2010-01-01
oracle,62,2005-05-01,2021-07-01
performance monitoring,39,2006-11-01,2010-01-01
postgresql,3,2017-07-01,2017-09-01
project management,57,2005-05-01,2010-01-01
security,82,2005-05-01,2017-07-01
selenium,10,2011-08-01,2012-05-01
server,42,2002-07-01,2010-01-01
software,149,2001-05-01,2021-07-01
software engineering,25,2004-11-01,2006-11-01
source code,35,2004-11-01,2012-05-01
specification,103,2005-05-01,2019-12-01
sql server,217,2002-07-01,2023-03-01
support,227,2002-07-01,2023-03-01
testing,68,2006-11-01,2019-12-01
visual basic,66,2002-07-01,2010-01-01
web forms,167,2006-11-01,2023-03-01
windows,49,2001-05-01,2010-01-01
