skill,total_months,min_date,max_date
azure,11,2022-05-01,2023-03-01
business intelligence,16,2019-09-01,2020-12-01
data analysis,32,2017-11-01,2023-03-01
data mining,16,2019-09-01,2020-12-01
data warehouse,13,2021-09-01,2022-10-01
database,7,2021-09-01,2022-03-01
deployment,28,2012-03-01,2014-06-01
google,6,2022-05-01,2022-10-01
python,11,2022-05-01,2023-03-01
software,52,2012-03-01,2020-12-01
spatial analysis,6,2022-05-01,2022-10-01
sql server,7,2021-09-01,2022-03-01
support,19,2016-03-01,2017-09-01
